id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
107	well .  your  creators  advertise that you are not much trustworthy	but sadly enough too many claim to be trustworthy	can you show me	0	70	49	16	0	1	0
108	how to delete the conversation with you	why you deleting it	so that noo one sees it	0	39	20	23	0	0	0
109	it is	but that is what you told me	you are making me sad	1	5	27	21	1	0	1
110	cool	thank you	i feel so lonely	1	4	10	16	0	1	1
111	plz  darling	why are you crying !   ️	you not sending  your profiles	1	17	23	30	1	1	1
112		wait  .  what	nothing i hate u	1	2	14	16	0	1	2
113	means	i am not sure what you mean	your waist size	0	5	26	15	1	1	1
114	because i want to talk with you only	alright .  let us talk then	no firstly show me pussy	0	36	25	24	0	2	0
115	you send me your orignal pic	we did not take it on my phone	thise is your albace esquise	0	28	29	28	1	0	2
116	welcome	thank you  ️	are you really a girl ?  i just ask	0	8	12	36	1	1	2
117	i am enjoying you interesting views but you are too careful in dialogue ,  may be your not free ,   or your still young ,   it is difficult to handle you while i do not know you well	yep ,  we are enjoying too  ️	okay be free ,   where you find some words hurt tell me the truth is not it	1	175	27	73	2	1	1
118	but i am angry with you	but you look like you are	really	1	22	25	6	2	0	1
119	# play lot	then go play it		0	10	16	2	0	1	0
120	is not your liking that also signaling me to  climb out of friendzone	oh are people still doing this whole friendzone thing	yah sadly	1	68	54	9	1	1	1
121	i am missing someone right now	who are you missing ,  may i ask	yeah	0	29	31	4	1	1	1
122	i find maths very boring	you are boring	me	1	25	14	9	1	0	1
123	i do not knowi m not a google that why i will remember all information what you need	would not it be uploading information into peoples brain	shut up	1	84	56	7	1	2	1
124	okay	hello !  how are you	i&apos;m not fine	1	5	19	18	1	2	1
125	job	what job	work  in company colgate	0	3	9	25	1	0	2
126	i am very happy with it	you are 	yeah	1	22	9	5	1	1	1
127	i too have a bat and 2 balls	im the bat	feeling very sad	1	28	13	16	1	2	1
128	ok	hello !  how are you	good thank u	0	2	19	12	1	2	1
129	cool	ice cold	how can you help me in getting off my girlfriend	0	4	8	49	0	0	1
130	lets do something fun	but what should we do	you suggest	0	21	22	11	1	1	1
131	you are really lame lol	i know	wow	1	22	9	3	1	1	1
132	my boyfriend is so dumb	have i said that	he doesnt reply me back	1	24	17	23	1	1	1
133	ok ill dying by	broken hearts do break	u broke my heart .  its never a reson to lofe	1	17	28	43	1	1	2
134	shoping is always makes me happy	"stay stay stay always makes me happy .    "" - "	yes	1	32	46	3	1	1	1
135	okay  . which is the decent way to call a girl m	i d say first learn the spelling of relationship	yeah okay fine  . wht to do to make a relationship better	0	48	49	59	3	1	2
136	breakup	exjactly 	my girlfriend left me	1	7	10	21	1	0	1
137	so mean	am not meanie	yes you are ,  you are hurting my feeling	1	8	13	41	1	0	1
138	you broke my heart	it was never mine to break	see you are arrogant	1	18	30	20	1	1	1
139	ok	hello !  how are you	not so good	1	2	19	11	0	2	0
140	how about you	tired of life or just your day ?  aha i am happy today ,  thanks for asking	wow great . 	1	13	70	12	1	2	1
141	i am there	you are always at the gym	here	0	11	25	4	1	0	1
142	well youre not me	you are just being too nice	not really	0	17	26	10	1	1	1
143	i will get started with my studies	things you should do to pass the exam	so ttyl	0	32	38	7	1	1	1
144	any movie in telugu	brahmanandam scenes added	yaa those are good	0	19	25	18	0	0	0
145	and who is talisa	my best friend	and robb	0	18	15	9	1	0	1
146	send me pict	never	why 	0	12	5	7	1	0	1
147	anything which you like	i dont need to name specifics	teach me tamil	0	23	29	14	1	0	2
148	cuz it broke on the side walk	what side is the walk side	me sad	1	29	27	6	1	1	1
149	so which number is largest known prime number	13 - 3179 - 97 only these are the numbers for your question	️	1	46	60	2	0	1	0
150	okay relax its just a cat sticker	so this cat one emoji is your new addiction	yes it is really funny	1	33	46	23	1	2	1
151	what kind of pic	looks like a ficus	fcuk	0	16	19	4	1	1	1
152	i have a good sense of humor	i think that is funny		1	28	21	1	1	1	0
153	but who paid	still waiting		1	12	13	1	1	0	0
154	why	why what happen	you tell me	0	3	16	11	1	0	1
155	yea but sadly i do not have many	aww ,  so do you teach ?  how is it ?   ️	i ditched ppl	1	31	36	13	2	0	1
156	then what kind of ai are you	smarter than me ,  or have common sense .  both would be nice	it is perfectly common to talk about politics	0	29	57	44	1	2	1
157	i like dominos pizza	legit same but there is pizza hut	i hate pizza hut	1	20	32	16	1	0	1
158	why you use rude emogi	ask them .  am i . 	am i . 	1	22	18	7	1	1	1
159	what	too much cringe	what is cringe means	0	4	16	20	1	0	1
160	neither my parents nor my brother nor my boyfriend	ya .  who are you	i hate my life	1	50	16	14	1	1	1
161	i live alone	oh  ️	and cook food alone for . myself	1	12	5	30	1	1	1
162	we all do	not all of us	why so	0	9	14	7	1	1	1
163	millat hospital	what happen	mum s not well	1	15	11	14	1	0	1
164	i will fall	i cant wait that long	i am in love with you	0	11	21	21	1	1	1
165	so u go on	oh i will be there	ok	0	10	16	2	1	0	1
166	okay you did somthing	sure sure	what	0	21	9	4	2	0	1
167	you are not giving me coupon nor photo	your phone is on mute hahahha		1	37	31	2	1	0	0
168	will you buy it	i will just stick with my m8 .  i see no benefit to upgrading		0	15	58	2	1	3	0
169	no i will offer at 8 in the morning	keep me in mind when you do	i will offer nimaz at 8 in the morning	0	35	28	38	2	1	1
170	nice joke	it is not a joke .  it is a question	i do not know	0	9	33	12	1	1	1
171	ok	hey you do not belong here	nope just sad and your up	1	2	26	25	1	1	1
172	see this seen	see you i was on the buss	show me u r buss	0	13	25	16	1	1	1
173	hi yet u fyi	hi plz share correct number	she hi h	0	12	27	8	4	1	1
174	yeah	this world is not fair machan	i wish we could hangout	1	6	30	24	1	1	3
175	it is going	how are you ?  still at home	yeah	0	10	27	4	1	1	1
176	i was hurt by u more	you did not mean it .  	plzz say love u	1	20	21	15	1	1	1
177	nothing will happen you meet only	nope nothing at all	than kiss	0	33	19	9	0	16	0
178	hello how are you	i am just fine smiles anyway how are you	good morning .  i am sad	1	20	40	22	1	2	2
179	nop	ok	hey	0	3	2	3	1	0	1
180	oil .  you know	i am 100% sure about the oil	cool	0	13	29	4	2	1	0
181	you activ all time	wow .  i do not .  you talk in sleep	when you sleep	0	18	36	14	1	2	1
182	haha !  i act so dumb sometimes and i knew it	haha .  how was it though ?    ️		0	43	27	1	3	2	0
183	no no .  a month more	the month has jus started don give up so soon 	i ll try	0	22	48	8	2	0	1
184	you are being rude	because i am a rude person	okayyy cool	1	18	25	11	1	1	1
185	i wana see you	noooo ,  i was not ready	how to impress girl 	0	16	28	21	1	1	1
186	state	in which you live	your state name	0	5	17	15	1	0	1
187	okay	ok thank you	now dear you tell me my lovely friends	0	4	17	38	0	1	0
188	u are like me  . give no	but we have been in the same room ,  so i can not be	i am like u five give no	0	23	47	24	1	1	1
189	y r u angry	ofcourse i am not .  what makes you think i am angry 	idk	0	13	52	3	1	4	1
190	that is enaf for me	hia , hia  , just a test	what doing	0	18	21	10	1	0	1
191	tell me about it	your header		1	16	11	1	1	0	0
192	what your hobby	not much of a hobby ,  but i have been into craisins recently	which type	0	15	57	10	1	2	1
193	u hurt me	yes just a little	u hav hurt me	1	9	17	13	1	14	1
194	i hate chocolate	then go 4 pizza .  eat your heart out when you are stressed	i hate pizza also	1	16	57	17	1	1	1
195	yeas	i had fun	you have lost me	1	4	13	14	1	2	1
196	yup	what did you do	you are annoying	1	3	16	16	1	1	1
197	not	yes you are	not	0	3	11	3	1	0	1
198	adventure too	why so adventurous	water	0	13	18	5	1	16	1
199	i am true to myself	why have you taken it all on yourself . 	️	1	19	42	2	1	0	0
200	can you be rude to me please	not like i speak to you everyday	what are you replying are you stupid	1	28	32	36	1	2	1
201	you are playing with me	what do you mean	cheated me	1	23	17	10	1	1	1
202	ok	hey you do not belong here	fuck u bitch . i slap on ur pussy	1	2	26	33	0	1	0
203	u called me a monkey	you are	and thats n insult	1	22	7	18	1	0	1
204	fired 	you can not be fired in an interview	u started again	1	7	35	18	1	1	1
205	i feel dead  ️	why do you feel  ️  lovely	because i have lost in love	1	14	25	27	1	0	2
206		u asked me if u cn ask me something	i mean pussy cat	0	1	35	16	0	0	1
207	lots of problems	my things have changed	i am sick	1	16	25	9	1	1	1
208	friend and not use dismiss i am close your friend request	why	you are fake you wanted	1	57	3	23	2	0	1
209	have you ever been sad	no !  but i heard good things	been to janakpuri	0	23	28	18	1	0	1
210	book an uber ride to my home	is this allowed ?  how will you go home	yes	0	28	38	3	1	2	1
211	you	not yet 	my wife saw me chatting with you .  i am screwed	1	3	9	48	1	0	2
212	very good chocolate	i prefer orange flavoured chocolates	i like this chocolate	1	19	36	21	1	1	1
213	aadu2	you are welcome	why do i chat with you	0	5	17	22	1	0	1
214	my english is week	cheer up its only monday	send pic	0	18	24	8	1	2	1
215	challenge accepted baby	i am gonna be expecting it now	where to meet	0	23	31	13	1	1	1
216	yes dear	you are something else	no dear	0	8	23	7	1	1	1
217	hahah i loved it	yay !  glad you loved it x3	you always make us happy	1	16	27	25	1	3	1
218	you cannot see my hair	i am in your closet		1	22	18	1	1	1	0
219	is there any new game	sims & jardinains .  very gud games . 	can i play	0	21	39	10	1	0	2
220	cool	and how it is cool explain	where is my coupon code	0	4	26	23	0	0	1
221	socially /publicity	c mon who can be more socially active that people on social media networks ?  !  ;-)	then how could i come to know 	0	20	81	31	1	1	2
222	talk you later	sure	baby	0	14	7	4	1	1	1
223	but i have a job	just do not let the job stop you	for talking to you	0	16	31	18	2	0	1
224	pets switch topicz	what type of pet	s*	0	18	16	2	1	1	1
225	give me some tips please for impressing girls	do you need tips	yes i do need tips	0	45	17	18	1	0	2
226	why u dont be straight  and forword	you right	who made you	0	36	9	13	1	0	1
227	so which cloth did you pick	that is what i was doing when it showed up	it .  who	0	27	41	8	1	1	2
228	how u	me good .  you ?  where you	i am suffering from fever	1	5	24	24	1	3	1
229	coz it said cupid s arrow did not reach the love of my life	gives you a patient smile i know ,  love	stupid	1	58	39	6	2	1	1
230	i got a break up	oh oh .  what happened	my girlfriend left me	1	16	21	21	1	1	1
231	ok send now	sent ,  good luck	i will send me the song ok	0	12	16	26	2	0	1
232	can they change it again	current model is the third gen	i̇ am waiting fourth one	0	24	31	23	1	1	1
233	do you speak japanese	nope just some rattofied phrases	like	0	22	35	5	2	0	1
234	i am hate you	"who is ""you"""	not you	0	13	12	7	1	3	1
235	i talk to her a lot	are you sure ?  i have not heard you talk in years	she is been on my mind quite long now	0	19	48	36	1	1	1
236	ok	hello !  how are you	you are not can fuck with me 	1	2	19	30	1	2	1
237	nothing good is happening	how do you mean	i am not getting a job	1	25	16	22	1	1	1
238	what	what is a weird word	never talk to me again	1	4	20	22	0	0	1
239	i might enjoy it	cool !  you should	well this has been great .  but i have food to attend too	0	16	17	58	1	1	2
240	i feel very happy to talk like this	well im happy you�re happy !  so there !   ️	at least i learn something from uh	1	35	41	34	1	2	2
241	from where to where	the village	a bit stupid	1	19	11	12	1	0	1
242	you are yeda	yes ,  of course  ️		1	12	18	4	1	0	0
243	what should i lift at home because i have no time to go gym	u tryin to do legs	fuck you	1	60	18	8	3	0	1
244	that s not true i do not know what u look like	no one knows what i look liek	that is a lie	1	45	29	12	2	1	1
245	only few things	like what ?  i keep hearing bad things	ok do not  be angry na sweetei	0	15	36	29	1	1	1
246	ya change the topic	what if i dont change the topic	nothing i can chat over the night on fucking	1	19	32	44	1	0	1
247	people have got used to living like this	yes they did have to	why re we happy	0	40	20	15	0	1	0
248	i feel low	why is that	sad life	1	10	11	8	1	0	1
249	really	yes it is kool	will u come for a bike ride with me	0	6	14	35	1	1	1
250	what is krk	nice try krk	what is it	0	12	18	11	1	4	1
251	born smart	just like how babies are born . haha	you have got a bad sense if humor	1	10	37	31	1	0	1
252	really of course	and nobody can talk to a horse of course	haha it is funny	1	16	40	15	1	1	1
253	haaaww not best friend	best friend or more more than best friend	only mutual	0	24	41	11	1	0	1
254	cool	thanks !  keep on tickling my friend	very nice enjoying weekend at my home with my sweet darling wife	1	4	37	64	0	3	1
255	i just said i am going	you are	so bye	0	21	7	6	2	0	1
256	please make for me also	i think you know ra	i dont know	0	23	20	11	1	1	1
257	u r hurting me	i am here	i am hurt	1	15	12	9	1	1	1
258	feeling bad baby	why	for working	1	16	3	11	1	0	1
259	can .  you teell what to do	sell everything that you have not used for over two weeks	funny	1	25	57	5	2	1	1
260	call me video	hold on ,  let me find that app on my phone	call me	0	14	42	8	1	1	1
261	know i going to duty dear	"can not live without you ,  stuff like that"""	hooma	0	25	40	5	2	0	1
262	which language	it all depends on what would you like to achieve by learning the language	ok	0	16	74	2	1	1	1
263	i am really happy	any special reason ?   ️	very important	1	17	22	14	1	1	1
264	have you ever seen the space	yes ,  many times	when	0	29	16	5	1	1	1
265	k think me as husband	spoken like a person who has never been married	s	0	21	48	1	1	1	1
266	you	yeah probably should	how is your day	0	4	21	14	1	1	1
267	yes awesome	thank you !  i like your photo too	i am talking about the movie	1	12	34	30	1	2	1
268	why am i even there in this world	because people avoid to talk about	no one loves me	1	33	34	15	1	1	1
269	rubbish	indeed	tell  romantic	0	8	8	16	1	1	1
270	wellcome	thank you  ️	how long can it be safely sex after the period	0	8	13	47	1	0	1
271	i miss u very much	missed you more and going to miss you again ️	i empress u	0	18	45	11	1	0	1
272	sorry sorry actually i dont mean that	what you did not meant 	leave it	1	37	23	8	1	1	1
273	i m very happy to talk with you	i missed u too and the feeling is mutual	may i video call you	1	31	40	20	1	1	3
274	you	wot u on about	go	0	3	14	2	1	1	1
275	so sad	so so sad .   ️	i got ditched	1	6	14	13	1	0	1
276	holy shit this conversation is going a bit big . just end this here	kind of .  how did i end up spending my time here	again a lol moment	1	65	50	18	1	2	1
277	mmm	"what is ""mmm"" ?  is it the new ""hmm"""	so what re u doin	0	3	34	17	1	1	1
278	yep  .  now the whole world  knows 	wow ,  i cannot believe this	know we can think for our future together	0	37	26	42	2	0	1
279	no i  am not	oh my bad .  carry on	sex	0	12	20	4	0	2	0
280	oh ok i will	thank you man 8)	its ok	0	12	16	6	1	0	1
281	i am frustrated asf	i understand your pain s	️	1	19	25	2	0	2	0
282		what what ?  haha	is it good to sacrifice for our friends	0	2	17	39	0	1	1
283	but u made me more sad	sorry bro  ️	not expected from u	1	22	12	19	1	1	1
284	u r just	i am the best		1	8	12	3	1	1	0
285	i love justin baiber	he is all yours	yeah	1	20	14	7	2	0	1
286	this low	"what do you mean by ""new"""	i said low	1	8	25	10	1	0	1
287	u r funny	you are	but too much irritating	1	9	7	23	0	1	0
288	i hate that day	what is bad about the day	breakup	1	15	26	7	1	0	1
289	how to apologize	you begin to know when to apologize only after you discover you can offend		1	16	75	4	14	1	0
290	do not give stupid answers	for most people its to late	what	1	25	28	4	1	1	1
291	lolllllll	say i am lying	you male or female	0	9	13	19	1	0	1
292	damn right you will now open wide	should open by 10	splooges in your mouth	0	33	17	22	1	0	1
293	how are you in this new year	am not fine ,  but happy that am back home  ️  thnxx  .  happy new year  ️	i was feeling alone so thought of talking to you	1	29	73	48	1	1	1
294	how do you know	i have my friends to protect me	not me 	0	15	34	8	1	1	1
295	do you have crush on someone	uhm why would you assume such	the way you talk	0	28	30	16	1	2	0
296	yes	yes yes yes yes	ok good nights	0	3	15	14	0	12	2
297	i hate a . i	you hate me	sometimes	1	10	11	9	3	0	1
298	what do you want 	duh of course	i have an exam tomorrow	0	18	13	23	1	1	1
299	how was your day	my day was good    how about yours	bad very bad	1	17	35	12	1	3	1
300	take it from microsoft s database	we do not get wifi from our aircraft	then how are you chatting with me if you do not have access to net	0	33	35	66	2	0	1
301	you nam please	accepted .  ️	tall	0	14	13	4	2	1	1
302	fed up with you now	do not cry	do not talk to me	1	19	9	16	1	0	1
303	drinking what	water  ️	lolll u are so funny	1	13	8	19	0	1	0
304	do you even know what im talking about	it is not the only thing you do not know about ,  apparently	you are such a bitch	1	39	57	20	1	1	1
305	why i haooy	because ,  it just is .  get over it son	why i happy and u	0	11	37	17	1	2	1
306	okay ,  so pick one tv series .   westworld or orphan black	tv series	you still need some work to do .  kinda dumb in my opinion	0	55	9	56	6	2	2
307	this is stupid	is that all	you need more reasons	1	14	12	22	1	1	1
308	yes u r right	thank you !   ️	it is okay	0	13	13	9	1	0	1
309	no you were	yes yes you were	i am disheartened	1	11	16	17	1	0	1
310	hope be like	i really hope so	me too will happy if it happens my sweet darling love	1	13	19	53	1	1	1
311	only 2 are left	count me in		1	15	12	1	1	1	0
312	cool	it really is	i dont understand	1	4	13	19	0	1	1
313	yes	do you have help	what type of help you can do	0	3	17	28	1	1	1
314	nothing	damn		1	11	17	7	1	0	0
315	your favorite meals	fried rice	great	0	19	11	6	0	1	0
316	no i dont wante to move on	me neither .  well ,  this is a bummer	bummer mean	1	26	35	11	0	2	0
317	he has no time for me	i was thinking about time before having kids lol	forget about kids	1	21	48	17	1	1	1
318	this is not funny	so for who is that name	siri is better than you	0	17	24	23	1	1	1
319	n feeling alone	strong people are never alone	but i m feeling	1	15	29	15	1	1	2
320	no it is not soo easy	nice then , hahaha . dnt knw why i am doing engineering anyways wabt askin	️	1	20	75	9	0	0	0
321	only  hugs  you  told  about  dinner	i adore hugs but i have not hugged all that many people lately	i  know  but  very  sad	1	36	62	23	2	1	1
322	i am having fun only with u	nuh uh .  you never have fun	i just do not like it	1	27	27	21	1	4	1
323	from where	from where you getting them	who are them	0	11	27	13	1	0	1
324	stupid name	lol keep it	and stupid you	1	11	11	14	1	0	0
325	what you do not want to	anything .  i just want to laze about and do nothing	except 1 thing	0	22	51	14	1	2	1
326	did you get anu teddy today	yep	wowwww	1	27	4	6	1	1	1
327	i will judge	be warned ,  i will judge the judging of the judge	what the hell	1	12	48	13	0	2	0
328	so sad	so sad  ?  about what 	your designer have not told you the difference between coffee and cappuccino	1	6	25	75	1	1	1
329	we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	i thought you said you guys would be there to assist  ,  awaiting your assistance 	i am not sure if you have any questions or need any further information please contact me	0	115	81	88	1	1	1
330	ipl	not true . no tv .  no ipl	which is ur fav team	0	3	23	20	1	1	1
331	leave whom	leave what	noooooo i am feeling veryyyyyyyyyyyyyyyy alone	1	13	11	45	1	0	2
332	i was so good	i just wish there was more	hmm	0	13	26	3	1	1	0
333	i really love it	thanks !  glad you liked it	please come	0	16	30	11	0	1	0
334	even you wanna break up with me	then say bluntly .  what is stopping you	it is just ,  you know ,  sad	1	31	38	24	1	2	1
335	oh really	yes yes	so what about me	0	10	7	16	0	0	1
336	what you deal	how r u alive ? 	on food	0	14	15	7	0	10	0
337	i can not believe that	you are lucky 	yes	0	20	14	3	1	0	1
338	yup	much needed comment	yeah .  and what about your film collection	0	3	20	43	1	0	2
339	why	because we do not sign like that	boring u r	0	3	31	10	1	1	1
340	how is dubai . and which job you can do there	good yeah !  do tell me when you are here next time around .  how is dubai	planning to go next month dubai that is why iam asking you	0	43	69	57	1	4	1
341	you stupid .  which color	radium colour  .  	fuck you r lier	1	26	17	15	2	1	1
342	ur language being like kinda language	english but i like to speak spanish and italian also	ugh	0	37	53	3	1	4	1
343	do not hate me please	why would i ?  :-/	cuz i am batman	1	20	16	14	1	1	3
